taxon,n.taxa
Merrilliopanax,3
Sinopanax,1
Hedera,2
Fatsia,2
Dendropanax,14
Eleutherococcus,26
Macropanax,7
Kalopanax,1
Gamblea,4
Trevesia,1
Brassaiopsis,24
Tupidanthus,1
Osmoxylon,1
Heteropanax,6
Tetrapanax,1
Oplopanax,1
Pittosporum,74
Stylidium,2
Nymphoides,7
Scaevola,2
Carlina,1
Atractylodes,4
Tugarinovia,3
Echinops,17
Ancathia,1
Syreitschikovia,1
Olgaea,6
Alfredia,5
Xanthopappus,1
Synurus,1
Onopordum,2
Saussurea,321
Jurinea,10
Dolomiaea,14
Cousinia,11
Arctium,2
Schmalhausenia,1
Oligochaeta,1
Centaurea,7
Crupina,1
Serratula,1
Tricholepis,3
Schischkinia,1
Russowia,1
Amberboa,2
Plagiobasis,1
Cirsium,50
Carduus,3
Cavea,1
Doronicum,7
Cotula,2
Artemisia,275
Cancrinia,5
Opisthopappus,1
Ajania,35
Stilpnolepis,2
Chrysanthemum,27
Neopallasia,1
Leucanthemella,1
Brachanthemum,6
Seriphidium,40
Kaschgaria,2
Filifolium,1
Hippolytia,11
Tanacetum,21
Tripleurospermum,5
Achillea,11
Matricaria,2
Thespis,1
Nannoglottis,9
Formania,1
Dichrocephala,3
Psychrogeton,2
Aster,176
Sheareria,1
Callistephus,1
Asterothamnus,5
Galatella,11
Erigeron,48
Myriactis,5
Grangea,1
Solidago,6
Lagenophora,1
Calotis,1
Microglossa,1
Gnaphalium,6
Filago,2
Antennaria,1
Leontopodium,40
Xerochrysum,1
Anaphalis,82
Gynura,10
Senecio,92
Erechtites,2
Emilia,7
Cissampelopsis,6
Synotis,43
Petasites,6
Tussilago,1
Parasenecio,69
Syneilesis,4
Sinacalia,4
Ligularia,138
Cremanthodium,78
Sinosenecio,44
Nemosenecio,5
Tephroseris,16
Farfugium,1
Ligulariopsis,1
Pluchea,5
Laggera,2
Sphaeranthus,3
Epaltes,2
Pterocaulon,1
Cyathocline,1
Blumea,30
Duhaldea,7
Pulicaria,6
Carpesium,18
Inula,21
Pentanema,5
Anisopappus,1
Bidens,10
Enydra,1
Eupatorium,16
Adenostemma,4
Symphyllocarpus,1
Ageratina,1
Parthenium,1
Xanthium,2
Blainvillea,1
Tridax,1
Tragopogon,19
Koelpinia,1
Scorzonera,26
Sonchus,5
Launaea,4
Ixeris,9
Ixeridium,8
Taraxacum,139
Crepidiastrum,14
Youngia,31
Faberia,7
Nabalus,4
Notoseris,10
