"","Tip","brLegth"
"406","Syneilesis_1216",2.051753
"407","Ligularia_1218",1.876129
"408","Cremanthodium_1219",2.610343
"409","Syneilesis_1220",2.610343
"410","Ligularia_1221",3.778649
"411","Cremanthodium_1222",3.733606
"412","Ligularia_1223",2.043317
"413","Sinosenecio_1224",1.502165
"414","Nemosenecio_1225",1.502165
"415","Sinosenecio_1226",1.529037
"416","Nemosenecio_1227",2.009299
"417","Sinosenecio_1228",2.090546
"418","Tephroseris_1229",2.142731
"419","Ligularia_1230",1.631214
"420","Sinosenecio_1232",3.252851
"421","Sinosenecio_1233",3.851272
"422","Ligularia_1234",3.46962
"423","Ligularia_1235",2.245151
"424","Cremanthodium_1236",0.051409
"425","Ligularia_1237",0.985049
"426","Ligularia_1238",0.869674
"427","Tephroseris_1239",0.844134
"428","Ligularia_1240",0.3086
"429","Cremanthodium_1241",0.476037
"430","Ligularia_1242",0.898206
"431","Ligularia_1243",0.934621
"432","Ligularia_1244",1.067391
"433","Cremanthodium_1246",3.142232
"434","Cremanthodium_1247",4.077346
"435","Laggera_1248",6.155394
"436","Pluchea_1249",6.155394
"437","Sphaeranthus_1250",6.501274
"438","Laggera_1251",6.501274
"439","Epaltes_1252",6.18395
"440","Sphaeranthus_1253",6.10365
"441","Pluchea_1254",6.103651
"442","Epaltes_1255",9.159746
"443","Blumea_1258",6.953216
"444","Duhaldea_1259",15.675286
"445","Inula_1262",10.210258
"446","Pentanema_1263",3.791168
"447","Inula_1264",3.791168
"448","Duhaldea_1265",8.23009
"449","Blumea_1266",8.23009
"450","Pentanema_1267",8.31614
"451","Eupatorium_1270",17.142337
"452","Eupatorium_1273",2.664245
"453","Scorzonera_1286",10.058562
"454","Scorzonera_1287",12.179899
"455","Ixeris_1290",15.939748
"456","Ixeris_1292",10.027156
"457","Notoseris_1297",9.619059
"458","Soroseris_1298",9.779208
"459","Soroseris_1299",9.683731
"460","Syncalathium_1300",6.730902
"461","Syncalathium_1302",6.006216
"462","Cicerbita_1304",17.266265
"463","Crepis_1306",11.416832
"464","Cicerbita_1307",10.08668
"465","Crepis_1308",7.220607
"466","Hypochaeris_1309",7.220607
"467","Hypochaeris_1310",14.328645
"468","Notoseris_1312",2.154735
"469","Notoseris_1313",1.09897
"470","Paraprenanthes_1314",1.09897
"471","Paraprenanthes_1315",1.323128
"472","Notoseris_1316",2.259848
"473","Cicerbita_1318",11.177931
"474","Lactuca_1319",11.266352
"475","Lactuca_1321",13.052382
"476","Hypochaeris_1322",20.467489
"477","Distephanus_1324",19.957538
"478","Vernonia_1325",4.492443
"479","Vernonia_1328",10.156911
"480","Distephanus_1330",21.903692
"481","Lobelia_1342",23.453298
"482","Lobelia_1343",23.453299
"483","Codonopsis_1346",14.79728
"484","Codonopsis_1347",3.373468
"485","Codonopsis_1348",15.497349
"486","Codonopsis_1349",3.932772
"487","Campanula_1353",39.142901
"488","Asyneuma_1355",18.920893
"489","Asyneuma_1357",21.608622
"490","Campanula_1358",27.516085
"491","Merremia_1375",4.526165
"492","Merremia_1376",9.950331
"493","Convolvulus_1378",6.816993
"494","Convolvulus_1379",4.646596
"495","Merremia_1382",10.796537
"496","Ipomoea_1383",12.688834
"497","Ipomoea_1384",6.99823
"498","Evolvulus_1390",41.091696
"499","Evolvulus_1392",14.664518
"500","Physaliastrum_1403",6.589953
"501","Physaliastrum_1406",5.402772
"502","Solanum_1409",0.472543
"503","Solanum_1410",12.067436
"504","Syringa_1417",7.11599
"505","Syringa_1419",10.30382
"506","Paraboea_1436",19.543618
"507","Boea_1437",29.474192
"508","Didissandra_1443",10.502703
"509","Isometrum_1450",1.10381
"510","Oreocharis_1454",3.02164
"511","Oreocharis_1456",1.396189
"512","Isometrum_1457",5.953387
"513","Didymocarpus_1459",9.25934
"514","Primulina_1461",5.934307
"515","Chiritopsis_1463",2.949038
"516","Primulina_1464",2.949038
"517","Chiritopsis_1465",3.096501
"518","Lagarosolen_1466",8.775669
"519","Lagarosolen_1470",4.179379
"520","Lagarosolen_1472",3.626364
"521","Didymocarpus_1473",3.626364
"522","Lagarosolen_1474",4.763282
"523","Paraboea_1483",45.405342
"524","Boea_1484",45.405342
"525","Didissandra_1485",41.231367
"526","Didymocarpus_1486",41.231367
"527","Veronicastrum_1489",36.224035
"528","Veronica_1491",1.551965
"529","Veronica_1492",1.376843
"530","Veronica_1494",20.820688
"531","Veronicastrum_1495",36.298308
"532","Hygrophila_1526",22.273516
"533","Hygrophila_1528",20.312959
"534","Hypoestes_1530",47.787365
"535","Hypoestes_1534",6.747879
"536","Asystasia_1540",15.623771
"537","Asystasia_1545",21.141454
"538","Lepidagathis_1547",1.663698
"539","Barleria_1549",29.074832
"540","Lepidagathis_1550",35.959198
"541","Barleria_1551",38.090465
"542","Euphrasia_1588",5.785616
"543","Euphrasia_1590",6.239487
"544","Chelonopsis_1605",7.578429
"545","Chelonopsis_1607",7.710223
"546","Stachys_1610",3.687755
"547","Stachys_1612",4.483959
"548","Colquhounia_1630",19.918685
"549","Colquhounia_1631",20.189118
"550","Teucrium_1640",10.681786
"551","Teucrium_1642",9.049985
"552","Teucrium_1643",11.434888
"553","Clerodendrum_1646",2.969932
"554","Clerodendrum_1648",3.109588
"555","Clerodendrum_1649",14.829724
"556","Ocimum_1654",13.006289
"557","Ocimum_1658",2.204409
"558","Isodon_1660",0.417002
"559","Isodon_1662",4.718045
"560","Isodon_1664",3.000904
"561","Isodon_1665",3.02606
"562","Isodon_1666",1.513443
"563","Isodon_1667",4.793292
"564","Micromeria_1679",11.462561
"565","Clinopodium_1683",3.150735
"566","Clinopodium_1684",2.753483
"567","Stachys_1685",2.753483
