"","Tip","brLegth"
"406","Syneilesis1216_",2.051753
"407","Ligularia1218_",1.876129
"408","Cremanthodium1219_",2.610343
"409","Syneilesis1220_",2.610343
"410","Ligularia1221_",3.778649
"411","Cremanthodium1222_",3.733606
"412","Ligularia1223_",2.043317
"413","Sinosenecio1224_",1.502165
"414","Nemosenecio1225_",1.502165
"415","Sinosenecio1226_",1.529037
"416","Nemosenecio1227_",2.009299
"417","Sinosenecio1228_",2.090546
"418","Tephroseris1229_",2.142731
"419","Ligularia1230_",1.631214
"420","Sinosenecio1232_",3.252851
"421","Sinosenecio1233_",3.851272
"422","Ligularia1234_",3.46962
"423","Ligularia1235_",2.245151
"424","Cremanthodium1236_",0.051409
"425","Ligularia1237_",0.985049
"426","Ligularia1238_",0.869674
"427","Tephroseris1239_",0.844134
"428","Ligularia1240_",0.3086
"429","Cremanthodium1241_",0.476037
"430","Ligularia1242_",0.898206
"431","Ligularia1243_",0.934621
"432","Ligularia1244_",1.067391
"433","Cremanthodium1246_",3.142232
"434","Cremanthodium1247_",4.077346
"435","Laggera1248_",6.155394
"436","Pluchea1249_",6.155394
"437","Sphaeranthus1250_",6.501274
"438","Laggera1251_",6.501274
"439","Epaltes1252_",6.18395
"440","Sphaeranthus1253_",6.10365
"441","Pluchea1254_",6.103651
"442","Epaltes1255_",9.159746
"443","Blumea1258_",6.953216
"444","Duhaldea1259_",15.675286
"445","Inula1262_",10.210258
"446","Pentanema1263_",3.791168
"447","Inula1264_",3.791168
"448","Duhaldea1265_",8.23009
"449","Blumea1266_",8.23009
"450","Pentanema1267_",8.31614
"451","Eupatorium1270_",17.142337
"452","Eupatorium1273_",2.664245
"453","Scorzonera1286_",10.058562
"454","Scorzonera1287_",12.179899
"455","Ixeris1290_",15.939748
"456","Ixeris1292_",10.027156
"457","Notoseris1297_",9.619059
"458","Soroseris1298_",9.779208
"459","Soroseris1299_",9.683731
"460","Syncalathium1300_",6.730902
"461","Syncalathium1302_",6.006216
"462","Cicerbita1304_",17.266265
"463","Crepis1306_",11.416832
"464","Cicerbita1307_",10.08668
"465","Crepis1308_",7.220607
"466","Hypochaeris1309_",7.220607
"467","Hypochaeris1310_",14.328645
"468","Notoseris1312_",2.154735
"469","Notoseris1313_",1.09897
"470","Paraprenanthes1314_",1.09897
"471","Paraprenanthes1315_",1.323128
"472","Notoseris1316_",2.259848
"473","Cicerbita1318_",11.177931
"474","Lactuca1319_",11.266352
"475","Lactuca1321_",13.052382
"476","Hypochaeris1322_",20.467489
"477","Distephanus1324_",19.957538
"478","Vernonia1325_",4.492443
"479","Vernonia1328_",10.156911
"480","Distephanus1330_",21.903692
"481","Lobelia1342_",23.453298
"482","Lobelia1343_",23.453299
"483","Codonopsis1346_",14.79728
"484","Codonopsis1347_",3.373468
"485","Codonopsis1348_",15.497349
"486","Codonopsis1349_",3.932772
"487","Campanula1353_",39.142901
"488","Asyneuma1355_",18.920893
"489","Asyneuma1357_",21.608622
"490","Campanula1358_",27.516085
"491","Merremia1375_",4.526165
"492","Merremia1376_",9.950331
"493","Convolvulus1378_",6.816993
"494","Convolvulus1379_",4.646596
"495","Merremia1382_",10.796537
"496","Ipomoea1383_",12.688834
"497","Ipomoea1384_",6.99823
"498","Evolvulus1390_",41.091696
"499","Evolvulus1392_",14.664518
"500","Physaliastrum1403_",6.589953
"501","Physaliastrum1406_",5.402772
"502","Solanum1409_",0.472543
"503","Solanum1410_",12.067436
"504","Syringa1417_",7.11599
"505","Syringa1419_",10.30382
"506","Paraboea1436_",19.543618
"507","Boea1437_",29.474192
"508","Didissandra1443_",10.502703
"509","Isometrum1450_",1.10381
"510","Oreocharis1454_",3.02164
"511","Oreocharis1456_",1.396189
"512","Isometrum1457_",5.953387
"513","Didymocarpus1459_",9.25934
"514","Primulina1461_",5.934307
"515","Chiritopsis1463_",2.949038
"516","Primulina1464_",2.949038
"517","Chiritopsis1465_",3.096501
"518","Lagarosolen1466_",8.775669
"519","Lagarosolen1470_",4.179379
"520","Lagarosolen1472_",3.626364
"521","Didymocarpus1473_",3.626364
"522","Lagarosolen1474_",4.763282
"523","Paraboea1483_",45.405342
"524","Boea1484_",45.405342
"525","Didissandra1485_",41.231367
"526","Didymocarpus1486_",41.231367
"527","Veronicastrum1489_",36.224035
"528","Veronica1491_",1.551965
"529","Veronica1492_",1.376843
"530","Veronica1494_",20.820688
"531","Veronicastrum1495_",36.298308
"532","Hygrophila1526_",22.273516
"533","Hygrophila1528_",20.312959
"534","Hypoestes1530_",47.787365
"535","Hypoestes1534_",6.747879
"536","Asystasia1540_",15.623771
"537","Asystasia1545_",21.141454
"538","Lepidagathis1547_",1.663698
"539","Barleria1549_",29.074832
"540","Lepidagathis1550_",35.959198
"541","Barleria1551_",38.090465
"542","Euphrasia1588_",5.785616
"543","Euphrasia1590_",6.239487
"544","Chelonopsis1605_",7.578429
"545","Chelonopsis1607_",7.710223
"546","Stachys1610_",3.687755
"547","Stachys1612_",4.483959
"548","Colquhounia1630_",19.918685
"549","Colquhounia1631_",20.189118
"550","Teucrium1640_",10.681786
"551","Teucrium1642_",9.049985
"552","Teucrium1643_",11.434888
"553","Clerodendrum1646_",2.969932
"554","Clerodendrum1648_",3.109588
"555","Clerodendrum1649_",14.829724
"556","Ocimum1654_",13.006289
"557","Ocimum1658_",2.204409
"558","Isodon1660_",0.417002
"559","Isodon1662_",4.718045
"560","Isodon1664_",3.000904
"561","Isodon1665_",3.02606
"562","Isodon1666_",1.513443
"563","Isodon1667_",4.793292
"564","Micromeria1679_",11.462561
"565","Clinopodium1683_",3.150735
"566","Clinopodium1684_",2.753483
"567","Stachys1685_",2.753483
